,n_features_1.0,n_features_2.0,n_features_3.0,n_features_4.0,n_features_5.0,n_features_6.0,n_features_7.0,n_features_8.0,n_features_9.0,n_features_10.0
n_features_1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_features_2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
n_features_3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
n_features_4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
n_features_5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
n_features_6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
n_features_7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
n_features_8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_features_9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_features_10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
