,param_value,scores_avg,scores_raw,scores_std
0,1.0,0.8762984266038419,"[0.87262079 0.88162098 0.87312614 0.88533045 0.87262079 0.86555839
 0.87262079 0.88421833 0.87262079 0.88264683]",0.00626455180242752
1,2.0,0.9715312021862517,"[0.97065745 0.98079886 0.96341107 0.97184199 0.95908038 0.98089996
 0.96290571 0.97768118 0.96673104 0.98130437]",0.007913660567810859
2,3.0,0.9575545822305408,"[0.95086521 0.97346291 0.95589571 0.92564551 0.95438733 0.97085074
 0.95137429 0.97266234 0.95217145 0.96823033]",0.013838255645591845
3,4.0,0.9555809104935943,"[0.93637618 0.97466461 0.9341603  0.97365358 0.93597189 0.9743613
 0.93989829 0.96933421 0.94191203 0.97547671]",0.01809273075812582
4,5.0,0.9590626364113973,"[0.94582702 0.97607508 0.94240598 0.9749712  0.94703988 0.97074964
 0.94613024 0.97054744 0.94250705 0.97437283]",0.014435724366890076
5,6.0,0.9619605555112166,"[0.950892   0.98325332 0.95311929 0.97852955 0.9480811  0.97110403
 0.94034078 0.97431128 0.94215237 0.97782183]",0.015712211475817705
6,7.0,0.9582263676641514,"[0.93562491 0.98496053 0.93582705 0.98667102 0.9395399  0.98123624
 0.94145256 0.9879771  0.93985452 0.94911986]",0.022364988673189555
7,8.0,0.9352091438641124,"[0.93381331 0.95430241 0.93210279 0.85567629 0.93190065 0.96143616
 0.92938155 0.96556485 0.93592812 0.95198531]",0.029390159541272456
8,9.0,0.9152103961609329,"[0.92023392 0.91878153 0.92143537 0.92250582 0.91982591 0.89937433
 0.91519201 0.91043457 0.90975723 0.91456327]",0.006745450360824788
9,10.0,0.9140361430911416,"[0.91045332 0.91626223 0.91568596 0.92270803 0.91397544 0.91466437
 0.904536   0.91094008 0.90281407 0.92832195]",0.007252389582655934
